departamento,cantidad,pob,tasa por 100k hab
GUATEMALA,8536,"3,573,179",238.8909148
SAN MARCOS,617,"1,250,306",49.34791963
QUETZALTENANGO,394,"959,047",41.08244956
SUCHITEPEQUEZ,132,"638,137",20.68521336
SOLOLA,182,"562,792",32.33876814
ESCUINTLA,427,"832,311",51.30293844
SACATEPEQUEZ,408,"376,111",108.478614
CHIMALTENANGO,292,"782,584",37.31228852
SANTA ROSA,194,"415,108",46.73482564
CHIQUIMULA,54,"455,645",11.85133163
IZABAL,87,"512,242",16.98415983
HUEHUETENANGO,106,"1,409,756",7.519031662
ALTA VERAPAZ,83,"1,450,280",5.723032794
PROGRESO,253,"184,543",137.0954195
TOTONICAPAN,59,"618,077",9.545736211
JUTIAPA,143,"525,022",27.23695388
QUICHE,64,"1,276,936",5.011997469
RETALHULEU,81,"369,863",21.90000081
PETEN,113,"858,256",13.16623478
BAJA VERAPAZ,139,"339,873",40.89762941
ZACAPA,109,"257,832",42.27559031
JALAPA,36,"407,125",8.842493092
